product_id,product_name,aisle_id,department_id
2001,Casareccia,131,9
2002,"The \""World's Best\"" Veggie Burger",42,1
2003,Easy Open Cap Ibuprofen,133,11
2004,Calcium Gummies,47,11
2005,Fresh Ground Turkey Breast,35,12
2006,Creme Face Hair Remover Kit,55,11
2007,Honeysuckle Liquid Soap for Hand & Body,25,11
2008,"Apple, Carrot, & Spinach Super Smoothie",92,18
2009,Sharp Cheddar Singles,21,16
2010,Thirsty Ultra Big Roll towel White Vsa,54,17
2011,Banana Peach & Raspberry,92,18
2012,Smart Ones Classic Favorites Chicken Enchiladas Suiza,38,1
2013,Sugar Free Chocolates,45,19
2014,Low Fat Kefir Cultured Milk Smoothie Lowfat Probiotic Blueberry,120,16
2015,Traditional 98% Fat Free,59,15
2016,Minzano Tomato,83,4
2017,Organic Cherry Tomatoes On The Vine,83,4
2018,Onion&Bacon Ketchup,72,13
2019,Sparkling Grapefruit Seltzer,115,7
2020,Organic Montebello Capellini Italian Pasta,131,9
2021,Pearled Farro,63,9
2022,Brut Cuvee Sparkling Champagne,134,5
2023,Organic Stawberry Shortcake Sandwich Cookies,61,19
2024,Organic Diced Tomatoes Fire Roasted with Medium Green Chilies,81,15
2025,Special Bitter Premium Ale,27,5
2026,Traditional Multipack,125,19
2027,Whips! Peaches 'n Cream Flavored Lowfat Yogurt Mousse,120,16
2028,Aspirin 325mg,133,11
2029,Swirl Thick Slice Brown Sugar Cinnamon Bread,112,3
2030,Apple Smoked Mozzarella Cheese,21,16
2031,Regular Strength Liquid Gels,133,11
2032,Chocolate Fudge Brownie Slices Ice Cream,100,21
2033,"Smart Ones Egg, Sausage & Cheese Breakfast Wrap",52,1
2034,Kettle Cooked 40% Less Fat Original Potato Chips,107,19
2035,"Miniature Dog Treats, Chicken Formula",40,8
2036,Mediterranean Scramble,86,16
2037,O.Rosehip Hibiscus Tea,94,7
2038,Green Tea with Ginseng and Honey,94,7
2039,Raspberry Rain Shave Gel,55,11
2040,Wrap Aluminum Foil Heavy Duty,85,17
2041,Citrus Meadows Scent Disinfectant Spray,114,17
2042,Salt Free Herbes De Provence Blend,104,13
2043,Organic Cookies 'n Cream Ice Cream,37,1
2044,Multi Surface Dusting Spray Lemon Zest,114,17
2045,Multigrain Sandwich,13,20
2046,Brown Sugar Hickory,59,15
2047,Fudge Sticks Jumbo Peanut Butter Cookies,61,19
2048,Natural Cranberry Sauce,29,13
2049,Malbec Mendoza,28,5
2050,Organic Berry Basket Blend,116,1
2051,Sunrise Crunchy Honey Cereal,121,14
2052,"Potato Chips, Organic, Sea Salt",107,19
2053,Organic Ground Coriander,104,13
2054,Belgium Beer,27,5
2055,Baby Cut Carrots Snack Size Bags,123,4
2056,Beef Sirloin Tip Roast,6,2
2057,Reduced Fat Swiss Deli-Thin Slices Cheese,21,16
2058,4# Bag Navel Oranges,123,4
2059,Biotin 1000 Mcg,47,11
2060,Alphabet Cookies  Cinnamon Graham,61,19
2061,Vanilla Maple Supershake,84,16
2062,Good Life Organic Cherry Tomatoes,83,4
2063,Fresh Ciliegine Mozzarella Cheese,21,16
2064,Toll House Dark Chocolate Morsels,17,13
2065,Carb Smart Chocolate Ice Cream,37,1
2066,"Body Wash, Nourishing, Classic Carrot Scent, For Normal to Dry Skin",127,11
2067,Plus Cranberry Almond + Antioxidants with Macadamia Nuts Bar,3,19
2068,Greek Strawberry Yogurt,120,16
2069,Salted Caramel Flavoring Syrup,29,13
2070,Family Size Popcorn Shrimp,129,1
2071,Bagels,93,3
2072,Psyllium Husks Veg Caps 625 Mg,70,11
2073,Tuna Salad with Crackers Snack,95,15
2074,Sea Salt Melba Snacks,78,19
2075,Serenity Ultimate Extrema Overnight Pads,126,11
2076,Honey Smoked Sliced Turkey Breast,96,20
2077,Light Frosted Amazon Flakes,121,14
2078,Unsalted Pure Irish Butter,36,16
2079,Hommus Garlic Lovers,67,20
2080,Original Aerosol Spray Starch Plus,75,17
2081,Crispy Seasoned Potato Puffs with Roasted Garlic & Cracked Pepper,129,1
2082,Organic Valencia Orange,100,21
2083,Lux German Style Lager,27,5
2084,Red 2-Ply Dinner Napkins,54,17
2085,Organic Grass Fed Whey Protein Unflavored,65,11
2086,Sustainably Soft Bath Tissue,54,17
2087,"Crunchy Kale, Naked",107,19
2088,Whole Wheat Pearl Couscous,63,9
2089,100% Organic Chickpeas,81,15
2090,"Milk, Goat",84,16
2091,Almond Nut & Rice Cracker Snacks,78,19
2092,Bengal Spice Herbal Tea,94,7
2093,Neti Mist Sinus Spray,11,11
2094,"Skin DeTox, Tea Bags",94,7
2095,Apple Carrot & Pineapple Squeezable Fruit & Veggies,92,18
2096,Anise Seed,104,13
2097,Gallon Size Value Pack Storage Bags,85,17
2098,Vegetable Burger Falafil Mix,6,2
2099,Natural Cane Turbinado Sugar,17,13
2100,Ultra Fusion Clean Lime Dish Detergent,74,17
2101,Chicken & Mushroom Aussie Pies,38,1
2102,Hash Browns Country Style,52,1
2103,ProteinPLUS Multigrain Penne Pasta,131,9
2104,Healthy Kitten Formula Dry Cat Food,41,8
2105,Salted Caramel Chocolate Cookie Dough,105,13
2106,Earl Grey Decaffeinated Black Tea,94,7
2107,Caramel Apple Filled Hard Candies,45,19
2108,Pastured Eggs,86,16
2109,Cat Litter Deodorizer with Activated Baking Soda,41,8
2110,Green Bananas,24,4
2111,Organic Cappuccino Protein Shake,64,7
2112,"Peppercorns, Rainbow",104,13
2113,Ultra Comfort Care Mega Roll Toilet Paper,54,17
2114,Softly Facial Tissue,54,17
2115,Slow Kettle Tomato & Sweet Basil Bisque Soup,69,15
2116,Organic Maple & Onion Baked Beans,59,15
2117,Natural Concord Grape Fruit Spread,88,13
2118,Sweet Golden Potato Sandwich Buns,43,3
2119,Hollandaise Sauce Mix,5,13
2120,Sauvignon Blanc,62,5
2121,Cheese Food Alternative American Flavor Slices,91,16
2122,Super Scented Sport Tampons,126,11
2123,Sensations Lemon and Pepper Seasoned Tuna Medley with Crackers,95,15
2124,Cheese Ravioli,12,9
2125,Single Candle,101,17
2126,Potato Blintzes,33,6
2127,Salsa Con Queso,51,13
2128,Authentic Recipe Guacamole,67,20
2129,Sports Drink Tropical Infusion,64,7
2130,Wasabi Peas,50,19
2131,All Natural Mediterranean Oregano,104,13
2132,Rosemary Olive Oil Bread,112,3
2133,Purina Beggin' Strips Dog Snacks Bacon Flavor,40,8
2134,Count Chocula Cereal,100,21
2135,5-Lettuce Mix,123,4
2136,Dove Intensive Repair Shampoo,22,11
2137,Granola Low Fat with Raisins,57,14
2138,Whole Bay Leaves,6,2
2139,Ruination Double India Pale Ale,27,5
2140,Finely Shredded Cheddar Jack,21,16
2141,Micro Brewed Cream Soda,77,7
2142,Gourmet French Roast Ground Coffee,26,7
2143,Rich & Hearty Steak & Roasted Russet Potatoes Soup,69,15
2144,Doritos,107,19
2145,Orange Flavor Vitamin C Gummies,47,11
2146,Bread Original Crumpet,8,3
2147,3D White Whitestrips Luxe Dental Whitening Kit,20,11
2148,Water Crackers,78,19
2149,Organic Vanilla Nut Herbal Coffee Alternative,26,7
2150,"Sauvignon Blanc, Mendocino, 2007",62,5
2151,Classic Vanilla Ice Cream Sandwiches,37,1
2152,Ultra Calming Makeup Removing Wipes,127,11
2153,Sunflower Seed Bread,112,3
2154,Homestyle Savory Chicken Bone Broth,69,15
2155,"Beauty Balm, All in One, Sheer Tint, with SPF 30",109,11
2156,100% Organic Taco Seasoning,104,13
2157,Detailer 2-Sided Shower Tool,127,11
2158,#2 Cone White Coffee Filters,26,7
2159,Chicken Flavored Stuffing Mix,4,9
2160,Hard Cider Apple Ginger,27,5
2161,Organic Gourmet Hazelnut & Fig Raw Chocolate Bark,45,19
2162,Organic Wild Rumpus Avocado Babyfood,100,21
2163,Organic Jammy Sammy Blueberry & Oatmeal Sandwich Bars,50,19
2164,"Waffles, Sweet Belgian, Vanilla",52,1
2165,Whitefish & Pike In Jelled Broth,33,6
2166,Roarin' Waters Berry Flavored Water Beverage,98,7
2167,Salt & Pepper Salmon Bar,3,19
2168,Naked Pineapple Kale Coconut Water,98,7
2169,Whole Grain White Hot Dog Rolls,43,3
2170,Original Strawberry and Mixed Berry Variety Pack Low Fat Yogurt,120,16
2171,Advanced Eye Relief Eye Wash,44,11
2172,Oat Revolution! Thick & Hearty Apples & Cinnamon Instant Oatmeal,130,14
2173,Soleil Bella Flexible Blades,55,11
2174,Free Range Organic Brown Large Egg,86,16
2175,Rich Chocolate Hot Cocoa Mix,90,7
2176,Redenbacher Plain,23,19
2177,Eye Drops for Contact Lenses,44,11
2178,Natural Deli Slices Gouda Cheese,2,16
2179,Crispy Mango Fruit,117,19
2180,Angel Hair Pasta,131,9
2181,Sugar Free Power Peppermints,20,11
2182,Angus Beef Hot Dogs,106,12
2183,Meatless and Soy-Free Meatballs,42,1
2184,Bare Naked Body Mist SPF 30,109,11
2185,Sliced Carrots No Salt Added,81,15
2186,Organic Harmony Blend Tri-Color,4,9
2187,Strawberry Milk,84,16
2188,Tubetti Rigati No 72 Pasta,131,9
